,아이디,댓글 내용
1242,  Hyovely2,저사이에 껴서 타이머두고 한명씩 말하게하고싶음. 둘이 서로 대화하는것처럼 보이지만 상대의 말은 들어볼 생각을 안하고 자기 할말하기에만 급급함. 서로 무슨 내용을 어떻게 말할지 생각을 좀 정리하고 난 후에 대화했으면 좋겠고 개인적으로 나연의 행동이 이해안되는 부분이 더 많았음.
1243,  망치,말장난은 희두씨가 치는거에요..... 나연인 진심을 보여주고있잖아ㅠ
1244,  HJ,희두는 자기가 엄청 나연이 좋아해서 화나 있으면서 아닌 척 말꼬리만 붙잡음.
1245,  white b,숨막혀.....
1246,  injeolmi,희두씨 너랑나랑안똑같애하는데 둘이진짜 개똑같아요 왜헤어졌는지 알겠네요 우리커플도6년사겼는데 가끔씩 투탁거려도 적어도 싸울때 말꼬리잡는식으로 그런식을얘기안합니다그렇게얘기하면 상대방을 이기는거같아도 본질에서 멀어지거든요
1247,  ??,내가 저래봐서 아는데 희두는 그냥 이기고싶은거임ㅋㅋㅋㅋ자기가 원하는 대답 듣고싶은거임 그러니까 중간에 그만 말하려는 나연이 붙잡고 말 계속 붙이는거 자기가 원하는 대답 나오게 하려고. 근데 그거 가스라이팅임
1248,  Anuu Gombo,숨 막히고 막 힘들다
1249,  뵤뵤뵵,남자 가스라이팅 지리네 ㅋㅋ
1250,  Pearl,이건 희두 포함 스스로 이성 논리적이라고 말하는 사람들이 알았으면 좋겠는 것이 논리적으로 맞는 것이 진실된 것은 아니라는 것. 사람 마음이란게 논리적으로 딱 떨어지지 않기 때문이다. 논리를 중요시 하는 희두  입장에서는 나연이 재회하고 싶었다면 다른 남자한테 흔들리지 않고 희두한테 직진 해야하는게 말과 행동이 맞는 거지만 그렇게 한다면 나연은 스스로 흔들리는 감정에 직면하거나 솔직하지 못하게 되고 자신의 마음을 속이는 것이 된다. 그 대표적인 예가 규민! 나중에 울면서 흔들리는 감정을 솔직하게 얘기하고 대화했으면 상처주지 않았을 거라고 후회하는 장면을 보면 알수 있듯이 자기 말과 행동을 논리적으로 일치 시키려고 한다면 자기의 속 마음은 속이거나 외면할 수밖에 없다. 그렇다면 상대방에게 자신의 속마음을 드러내지 못해 의도치 않은 상처를 주거나 자기 자신의 마음 을 뒤늦게 깨달아 후회할 수 있다.마음이 갈팡질팡 하는 건 죄도 아니고 논리적 오류도 아니고 틀린 것도 아니다. 그게 오히려 진실된 거고 그걸 솔직하게 입밖으로 내뱉어 대화하는 건 성숙한거다.그걸 마지막 인터뷰를 보면 희두는 깨달은 것 같아 다행이지만 이걸 보면서 희두가 맞다고 하는 사람은 자신이 엉망진창인 속마음마저도 직면할 수 있는 용기를 가졌는가 되돌아 봤으면 좋겠다.
1251,  Gabi,"나연은 미래를 얘기하고, 희두는 과거를 얘기하는 서로의 얘기 시점이 안맞아요 ㅠ"
1252,  이얏호응,희두야 억지부리지마...
1253,  뮤,음..? 희두 논리적인데 왜 그러지 댓글
1254,  니친구보거스,이런 상황에 적절한 사자성어가 있습니다..끼 리 끼 리
1255,  본격사생,츄베릅 존나 재밌음(방구석모솔
1256,  빠마머리앤,싸우는 거 보니 해결이 안 보이는 듯 ... ㅋㅋ
1257,  하늘이,왜 희두 맘을 모르지
1258,  삐용,누가봐도 나연이 말꼬투리 잡고 개비논린데 나연인 귀엽고 희두는 가스라이팅이라네ㅋㅋㅋㅋ
1259,  이주현,희두가 ㅈㄴ 맘이 답답해보이는건 나밖에 없나? ㅋㅋ
1260,  길냥이는 내친구,너무 서로 자존심 세우는거 같은데.. 서로 똑같음.그냥 서로가 어른스러운 사람 만나서 연애 해봤으면 좋겠다.어차피 똑같은 사람 만나면 거기거 거기가 되서 발전이 없더라.
1261,  SuNnY J,얘네 싸우는거보면 숨막혀... 저런사람을 좋아한다는것도 참 답답하고 난 저런취급당하면 멘탈무너져서 좋은감정 1도 안생길듯 ㅜ
1262,  청크쿠키,어우 희두 자존심 쎄고 속 좁다..
1263,  _갓항,나연희두 싸이퍼
1264,  soodinge,환승연애가 아니라 오은영 리포트 부부클리닉 나가자...희두 나연
1265,  망치,4:23 꼬투리ㅋㅋㅋㅋㅋ 재회가 뭐
1266,  여정아,ㅋㅋㅋ이게 대체 무슨 대화죠??
1267,  나무,나연아 왜 저런 희두를 택했냐고 ㅜ저거 못고친다고 왜 좋냐고 대체!
1268,  윤희,둘다 똑가틈 잘잘못을 따질 게 아냐
1269,  부붑부,나 좋다는 사람이 내맘대로 행동을 안해? 라고 하는거 역겹누...ㅠ 진짜 싫다
1270,  Ko8elover 24,나쁜 얘기 하 해놓고 나쁜 얘기하기 싫대… 진짜 솔직하지 않아…
1271,  땃쥐,여자는 말할때마다 입장이 번복되네 어질어질하다..
1272,  망고우,사실 둘다 똑같아보임.. 대나무같다는말 인정
1273,  은,3:56 뭔 심보여..
1274,  라벤더,정말 희두 나연 안맞음 절대 여기서 그만해야하는 사이
1275,  kky1602,아 희두 말꼬리 존나 무네… 뭔 초딩도 아니고 말 뜻으로 싸움을 거냐 저런 의미가 아닌거 알면서 어떻게든 이겨먹으려고
1276,  한치치,희두 관상 참 가볍다
1277,  아아,영상을보고 댓글을보니 남자와 여자와 이 영상에 해석이 정말 다르다는걸 알수있다.
1278,  Znyonxx,비지엠 이랑 너무 잘어울렼ㅋㅋ
1279,  나니나,어딜나갘ㅋㅋ
1280,  날씬쟁이,희두는~ 그냥 나연을 바라는거네~~~
1281,  꼬꼬마,얘네는  숨막히게 싸우는데..얘네를 보면서 차라리 규민처럼 냉정하게 선그어주고 그랬던게  낫다고 생각이 들더라..
1282,  SEOYOON 서윤,2:06 지키고 그냥 나가면돼! .....어딜
1283,  Amy,희두는 그냥 나연이 모든사람에게 사랑받고싶어 플러팅하는 행동이 싫은거!  희두의 발작버튼....하지만 나연이는 이거 않하면 안돼는 사람.
1284,  jinuyman,근데 진심으로 궁금한게 나연은 희두한테 미련이 있어서 일부로 보란듯이 질투유발을 한건가? 아니면 다른사람 만나보려고 했는데 다시 점점 희두한테 미련생겨서 일이 꼬인건가?...
1285,  ??????????,"말은 뇌에서 시작하지만, 결국 입에서 나온다. 의도가 어떻든 입을 잘못 놀린 사람이 더 잘못한거야. 이걸 부정하려고 저 둘의 역사까지 끌고 오다니  확신 없으면 걍 입을 열지마 제발.."
1286,  친칠라영웨이,저상황의 희두는 자기 가치관을 남에게도 왜이렇게 강요를 하는거임 가치관 지키는 거 좋은데 이 상황에서까지 융통성없게 끌고와서 지 사랑 다 망치고있는 거 같음
1287,  메차쿠차,근데 결국 재결합해도 대부분은 똑같은이유로 헤어집니다 사람 안 변해요 서로가 서로에게 상처받았던 그 이유로... 다시 만나면 고쳐질거같죠? 사람 고쳐쓰는거도아니고 안고쳐져요 걍 안맞는거에요 친구로선 좋지만 연인으론 글쎄
1288,  #K reporter,2:08 나가면돼! 어딜..
1289,  이현,환연 안봐서 모르긴 한데 이것만 보면 하ㅋㅋㅋ 희두 화법 자체는 들으면 개발암마냥 이상한 핀트 물고 가스라이팅 하는데 뒤로 가면서 둘이 대화 들을수록 나연도 참 그런데 희두가 첨부터 끝까지 진짜 상대 생각 일도 안해준다…
1290,  김수진,레드벨벳의 싸이코 현실판.. 
1291,  Who Jeon,전생같다
1292,  망고,말 꼬리.잡고 늘어지는거 개빡친다 진짜 도돌이표 도돌이표 ...........
1293,  MXP,사람 바꿔쓰는거 아니다. 나쁜놈 하긴 싫고 지긴싫고 나만 생각하는.. 여자는 눈이 없나봐
1294,  쏘로롱,뭐야대체 이게 뭔대화야보는 내머릿속이 복잡해진다; 대화하는 본인도 뭔소린지 모를듯
1295,  집가고싶다,관상은 사이언스구나
1296,  하영 김,근데 희두나연 둘다 똑같음 내가봤을땐 희두는 자존심부리고 말이쎄고 나연은 앞뒤 다르고 근데 이게 누구나 인간이면 어느정도 있는면임.. 걍 누가 낫다 누가 별로다 이런댓글 달지마.. 어차피 지금 둘이 잘만나는데 뭐
1297,  곱창볶음밥을 기다리는 나,후덜덜하다..
1298,  라임라임해,희두라는 사람은 자기 여자가 맘에 드는 구석이 아무것도 없다 사실은 그게 아닌걸 본인도 알면서 매일 불평불만만 .. 옆에 사람을 불행하게 만드는 스타일 본인이 자존심이 강하면서 안다고 말만 하지 얼마나 강한지도 모른다 상대방만 자존심이 강해서 우리의 관계가 나빠진다고 늘이야기 한다 나연씨 결혼하고 후회말고 언능 언능 도망갓음 좋겟다
1299,  이재아,아니저런남자를 왜 붙잡는거야 진짜이상하네
1300,  김호호,둘이 재결합했어도 헤어질거고헤어져도 서로 못잊을것.원진살인데 말안통하는 원진살인듯
1301,  103 kkj,둘이 근데 마지막에 사귀고 끝나지 않있나?..방송이라서 이렇게 화해할 기회가 있디고 하지만 누군가 바뀌지 않으면 똑같이 싸울 듯
1302,  우주인,"대화 내용 안 들어도 중간에 말 끊고 가로채는 거 보면 더 이상 내용이 중요하지가 않음 태도가,,"
1303,  퉤퉤트ㅔ,"답답해서 스트레스받음..,;;; 이기려고 하는 말싸움 이게 맞냐고"
1304,  Sejin Park,?와 생각보다 나연이 말장난 한다고 생각하는 사람들이 있구나...... 난 그냥 구구절절 맞는 말로 느껴지는데....희두가 나연이 무슨 말만하면 대화할 생각없이 말 꼬투리 잡는것같아보이는데말장난은 희두가 하고 있지 않나회피형인건 알겠는데 고냥 대화자체가 안되는 느낌...
1305,  올오올,나연이 피곤한 스탈이네..
1306,  포럭,말가지고 필받아서 꼬투리잡는건 희두네 전반적으로 나연이는 재회하겠다고 의사표시하는와중에 한마디씩 삔또나갈때 솔직하게 얘기하는것뿐이구만 희두는전체적으로 대화를 막고있음 본인이 물어보고 대화를이끌면 더자연스럽게 대화가될텐데 회피 플러스 말꼬리 감성적인대화에 논리만갖 다붙이고있네
1307,  jenny,나연이란 애는 집착을 하고 희두란 애는 사랑이 없는데?
1308,  sorrynotsorry,왜 다시 만나니? 진심으로
1309,  mini K,"와 남자 뭐고. 자존심 제일 센데 마지막 말... 대화도 안 통하고 가스라이팅 비난만 하는데,,,, 어케 자랐길래 속이 저래 꼬였노.. 꼰대보다 더하네..."
1310,  전효정,물론! 둘다 자존심 있어서 둘다 부리는게 보이지만!나연은 그래도 접고 이야기하려는게 보이는데희두는 이미 마음이 떠난건지 그냥 이기고만 싶은건지... 자기 얘긴 하나도 안하고 너무 공격적으로 이야기한다.. 희두같은 사람 난 절대 만나고 싶지 않음!
1311,  콩딱,둘다 술취해서 말해서 더 그런듯 희두는 아에 말할때 혀가 꼬임.나연은 논리가 꼬이고
1312,  S YR,그냥 때려치십쇼..
1313,  잘된다.,희두는 아니네 ~다른 사람 만나요~저런 인간은 아니야~ㅋ
1314,  아닌거맞는거,희두랑 나연 관계성은 딱 레드벨벳 싸이코 노래가사 같음
1315,  Hailey ily,할말없다면서 말끊어서까지 말하넹
1316,  류니,희두 별로야 지만 생각해 어떻게든 안지려고 자존심 좀 내려놔야하는데ㅠㅜ
1317,  야마도리,ㅈㄴ 전여친생각나서 ptsd오네 진짜 설명은 못하겠는데 똑같네 연애가 ㅋㅋㅋㅋ
1318,  아임쏘밍Somitube,희두 진짜 내가 싫어하는 남자 화법
1319,  ii _J,니는? 너는? ㅋㅋㅋㅋㅋ 말투부터 시 ㅂ 싸우기 딱 좋다
1320,  아르옹,희두 말투가 문제인것 같아 진짜개빡침
1321,  1,지도 감정적으로 흥분했으면서 남 지적만 하는 화법 너무 싫당 …. 결국 서로 좋아하냐 안하냐 얘기를 나연이가 자존심 내려놓고 얘기하는데ㅜㅜ
1322,  이런게 인생이냐,희두 진짜 최악.. 저렇게 말하는 사람 연인으로 두는거 정말 싫을 듯.
1323,  ???,뭔 예능인지 모르겠는데 남자가 질려하지 않고 계속 말하는것도 있는데 여자가 말하는게 너무 답답한데 보니가 잘못도있고
1324,  yoon jung,계속해 이래놓고 말 다 끊고 말하는거 진짜 싫다
1325,  서른마흔다섯개,남자 존나 불쌍하누 ㅋㅋㅋㅋ
1326,  윤둥둥,나연이는 도대체 무슨말을 하고자하는지 모르겠다 정리좀 하고 말했으면
1327,  뚜껑뚜껑,저남자는…. 여자 사귀지마라…
1328,  띵똥,답답한 두사람.. 답답한 대화.. 답답한 문제해결방식
1329,  은지 곽,정이무서운거지 같이있으면 금방 실수하게되고 떨어져있으면 생각나고 신경쓰이고 ㅋㅋㅋ  현재상황을 받아들이느냐 안들이느냐에  다른거지 저렇게 둘다자기입장만 학수고대 하면서 뭘 재회임헤어지는게 정답
1330,  adnan2222,"댓글들 왜 저래?? 환승연애를 전부 시청한게 아니라서 모르지만 저 4:56초 영상을 보면 희두가 정상으로 보일지경인데??? 나연이라는 사람은 말이 왔다갔다해서 사람 어지럽게 만든다. 희두는 깔끔하고 확실하게 딱!해서 말하는데 나연이는 참..마음이 왔다갔다해서 보는 나를 어지럽게 만든다. 그리고 나연이 꼬투리잡는다는데 어딜봐서 꼬투리잡는거임?? 희두는 나연이 마음을 확실하게 알고 싶어서 확인질문을 물어보는건데 나연이는 대답을 이상하게 하니깐 희두가 말장난이라고 하잖아!!! 댓글러들아!!! 나연이는 마음이 왓다갓다해서 사람 헷갈리게 만들어;; 그러니깐 희두가 짜증나는거임. 그리고 가스라이팅? 나연이가 가스라이팅하는걸로 보이는데;; 이랬다저랬다 어쩌라고??? 나연이랑 희두는 방식차이, 남녀의 사고방식 차이, 가치관 차이, 성격차이인데, 서로 배려 못하고 있다. 희두는 빡쳐서 그래 내가 나쁜놈할게 됐지? 이렇게 일방적인 통보를 보내고 있음(이건 진심이 아닐가능성이 농후함) 그냥 서로 남녀 둘이 이성교제가 뭔지도 모르고 사귀케이스 같음. 이성교제라는것은 남녀가 사귐으로서 남녀를 알아가는 관계에 의의를 두는거지, 서로 자존심 내세우고 자빠졋노"
1331,  이서이,남자 존나 쪼잔해ㅋㅋㅋㅋ
1332,  곤듀,나연이 말하는거 개짜증나네 진짜 왜저래
1333,  이제 뭐하지?,아 존나 답답하네 …
1334,  뽀삐,"희두 맘도 백번 이해가고 나연이 맘도 너무 이해가지만 둘다 잘못했는데 희두 말 비꼬는 스타일은 너무 싫다. 전남친 중에 딱 저런 스타일 있었는데 대화의 진전이 안됨. 계속 말꼬리잡고 늘어지고, 핵심은 그게 아닌데 말꼬리 잡으면서 진짜 해야될 말 가려지고 의미없는 것들로 넘어가고 그러다 길 잃고, 자기가 해야될 말 똑바로 안하고 상대 말에서만 어떻게든 공격할거 찾아서 비꼬고. 그렇게 하는 순간 기분 확 더러워짐.그 전까진 어떻게든 참으면서 사랑하니까 개선해보려고, 오해를 풀기 위해 어떻게든 대화로 풀어볼려고 기분감정 화 올라와도 다 누르면서, 계속 인내하면서 중간중간 상대방의 말에도 동의하며, 내 잘못도 인정하며 최선의 노력을 다하지만.저렇게 계속 말꼬리잡고 비꼬고 이제 상처주는 말까지 하면 더이상 끝. 나도 할만큼 다 했고 이제 대화 할 가치를 못느낌. 반면에 끝까지 본인은 무조건 다 맞고 다 알고 있고 상대만 잘못했다는 것처럼 얘기하는. 딱 그런 부류의 사람."
